Unnamed: 0,flow_id,bwd_pkt_flow_id,src_ip,src_port,dst_ip,dst_port,proto,bi_pktTotalCount,bi_octetTotalCount,bi_min_ps,bi_max_ps,bi_avg_ps,bi_std_dev_ps,bi_flowStart,bi_flowEnd,bi_flowDuration,bi_min_piat,bi_max_piat,bi_avg_piat,bi_std_dev_piat,f_pktTotalCount,f_octetTotalCount,f_min_ps,f_max_ps,f_avg_ps,f_std_dev_ps,f_flowStart,f_flowEnd,f_flowDuration,f_min_piat,f_max_piat,f_avg_piat,f_std_dev_piat,b_pktTotalCount,b_octetTotalCount,b_min_ps,b_max_ps,b_avg_ps,b_std_dev_ps,b_flowStart,b_flowEnd,b_flowDuration,b_min_piat,b_max_piat,b_avg_piat,b_std_dev_piat
163,443735b7848eeda247b6642043ba9776,61dc74f6b1c02c9a37b6902533a1f650,72.14.213.105,80,192.168.3.131,57838,6,4,160,40,40,40.0,0.0,1295981602.500683,1295981611.425242,8.924558877944945,7.295608520507812e-05,8.90537095069885,2.231139719486237,4.193516693196804,2,80,40,40,40.0,0.0,1295981602.500683,1295981611.425242,8.924558877944945,8.924558877944945,8.924558877944945,2.231139719486237,0.0,2.0,80.0,40.0,40.0,40.0,0.0,1295981602.500756,1295981611.406127,8.90537095069885,8.90537095069885,8.90537095069885,4.452685475349425,0.0
164,444b5e8ae521bbddb4e09b42127384b9,99d20d39c339b12409559a206b3c328c,192.168.3.131,55961,184.24.133.32,80,6,7,1530,40,744,218.57142857142856,279.0733939014493,1295981543.659415,1295981543.89059,0.23117494583129886,4.696846008300781e-05,0.20230984687805176,0.033024992261614115,0.07344750654639501,4,876,40,744,219.0,303.1484784721837,1295981543.659415,1295981543.89059,0.23117494583129886,0.0017061233520507812,0.2155139446258545,0.033024992261614115,0.09803053595854164,3.0,654.0,40.0,562.0,218.0,243.29406075775876,1295981543.6733232,1295981543.68828,0.014957189559936525,0.0010612010955810547,0.013895988464355469,0.004985729853312175,0.006417393684387207
165,44b5bb055d568916f6e2042911c468aa,b75989389059e0995f95ba6e05584522,192.168.3.131,55956,66.235.139.121,80,6,13,5867,40,1328,451.3076923076923,481.5791946399463,1295981543.495065,1295981564.69521,21.20014500617981,6.389617919921875e-05,10.924546957015991,1.6307803850907543,3.5432764030434543,8,3821,40,1328,477.625,564.9862691915619,1295981543.495065,1295981556.523421,13.028356075286865,0.0004401206970214844,10.924546957015991,1.0856963396072388,3.7249804618045133,5.0,2046.0,40.0,720.0,409.2,298.9510996801985,1295981543.527584,1295981564.69521,21.16762590408325,0.037051916122436516,11.163471937179565,4.233525180816652,4.614814165173903
166,4504cd8c5a7e0f0aa7330984a32fdcf6,d5a93d56dcf8349dffbbbdcca90d01e0,172.16.255.1,50983,111.249.130.107,42403,17,2,108,46,62,54.0,8.0,1295981658.2483358,1295981658.640079,0.3917429447174072,0.3917429447174072,0.3917429447174072,0.1958714723587036,0.0,1,62,62,62,62.0,0.0,1295981658.2483358,1295981658.2483358,0.0,0.0,0.0,0.0,0.0,1.0,46.0,46.0,46.0,46.0,0.0,1295981658.640079,1295981658.640079,0.0,0.0,0.0,0.0,0.0
167,4510a555f8cc79c3eca79a422f1037fe,bb584b4431911c205e84d777873156f6,10.0.2.15,2542,207.46.113.78,443,6,25,9105,40,1500,364.2,485.7330130843486,1295981663.699275,1295981700.211625,36.51235008239746,2.694129943847656e-05,32.23348498344421,1.4604940032958984,6.43649417532199,13,3133,40,1500,241.0,396.08623769617105,1295981663.699275,1295981700.211625,36.51235008239746,4.696846008300781e-05,32.23356604576111,1.4604940032958984,8.845193568130366,12.0,5972.0,40.0,1365.0,497.66666666666674,536.0224394142057,1295981663.7573109,1295981696.942306,33.18499493598938,0.0017330646514892578,32.38573503494263,2.765416244665781,9.287694322264416
168,457f05b37a6a68973e492d26edd377c5,12313b9326cf72db7e5e4a6b0f90d0d7,192.168.3.131,57173,208.50.77.73,80,6,3,120,40,40,40.0,0.0,1295981749.6076891,1295981749.685212,0.07752299308776855,3.981590270996094e-05,0.0774831771850586,0.02584099769592285,0.038721680641174316,2,80,40,40,40.0,0.0,1295981749.6076891,1295981749.685212,0.07752299308776855,0.07752299308776855,0.07752299308776855,0.02584099769592285,0.0,1.0,40.0,40.0,40.0,40.0,0.0,1295981749.685172,1295981749.685172,0.0,0.0,0.0,0.0,0.0
169,45d0a1eee05f8b6b8239125c1897f3fa,6f5505b4dc5be83d62a1d5f164942f10,10.0.2.15,2539,198.104.200.146,80,6,8,925,40,443,115.625,138.2189725580392,1295981659.994085,1295981730.768556,70.7744710445404,3.695487976074219e-05,70.56600522994995,8.84680888056755,24.680833901343288,5,611,40,443,122.2,160.42992239604186,1295981659.994085,1295981730.768556,70.7744710445404,0.02510595321655273,70.56600522994995,8.84680888056755,30.525934698976194,3.0,314.0,40.0,230.0,104.66666666666669,88.63909345705702,1295981660.0191538,1295981660.072166,0.05301189422607422,0.02542901039123535,0.027582883834838867,0.017670631408691406,0.0010769367218017578
170,46323e63e8c70ca6222e566a68eabb27,2712be4d6a9ff71402c1ac4a63fe3b51,10.0.2.15,2489,65.55.25.60,80,6,1,40,40,40,40.0,0.0,1295981628.697272,1295981628.697272,0.0,0.0,0.0,0.0,0.0,1,40,40,40,40.0,0.0,1295981628.697272,1295981628.697272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,463cdc00be532d71b74e6a1e891703a0,4f410107bd8c828662bd391d12d10e29,192.168.3.131,56213,65.54.95.75,80,6,11,1341,40,750,121.9090909090909,204.15611430536305,1295981627.7225971,1295981633.290101,5.567504167556763,6.4849853515625e-05,3.44608998298645,0.5061367425051603,1.1116720134862643,6,962,40,750,160.33333333333334,263.7433516802946,1295981627.7225971,1295981633.277927,5.555330038070679,0.0003409385681152344,3.4461548328399663,0.5555330038070678,1.3632102480744877,5.0,379.0,40.0,207.0,75.8,65.76442807475786,1295981627.7352018,1295981633.290101,5.554898977279663,0.0022881031036376953,3.64559006690979,1.1109797954559326,1.5136498079038678
172,46f318d76b25f9f3a9558eeddc794eec,5b65c32ea01023fe28519423ca1c633b,192.168.3.131,58352,208.82.236.130,80,6,14,6945,40,1500,496.07142857142856,644.5931678514879,1295981585.227685,1295981585.444568,0.21688294410705566,9.5367431640625e-07,0.0584878921508789,0.01549163886478969,0.02445737232388994,6,695,40,483,115.83333333333331,164.26037934396174,1295981585.227685,1295981585.391716,0.1640310287475586,0.00030803680419921875,0.060801029205322266,0.012617771442119893,0.02675893769458353,8.0,6250.0,40.0,1500.0,781.25,719.1153853867958,1295981585.2777221,1295981585.444568,0.16684603691101074,9.5367431640625e-07,0.058839082717895515,0.020855754613876343,0.026715580001083542
173,478c950c1df7a14fbb0fe750ef03e924,fc88f77685dc736875c6fa92c0c2d3fc,192.168.3.131,56057,65.54.95.66,80,6,19,8552,40,1500,450.10526315789474,606.6773090702504,1295981571.250755,1295981583.2929811,12.04222583770752,2.5033950805664066e-05,8.877892971038818,0.6338013598793432,2.092306148378204,9,2190,40,961,243.33333333333331,377.2552922830316,1295981571.250755,1295981583.274009,12.023253917694092,0.0002300739288330078,8.877892971038818,0.667958550983005,2.9323170131950227,10.0,6362.0,40.0,1500.0,636.2,705.7684889537079,1295981571.262972,1295981583.2929811,12.030008792877195,0.0007791519165039062,8.896932840347288,1.2030008792877198,2.8333301723525177
174,4819923a629c077bf59f83400369b96a,c7e9e166109599b4949896ceebb6e817,192.168.3.131,56023,184.24.143.139,80,6,7,1064,40,537,152.0,180.73579770324574,1295981569.405936,1295981569.632574,0.2266380786895752,4.982948303222656e-05,0.1995069980621338,0.03237686838422503,0.07253634042338275,4,669,40,537,167.25,213.53146723609612,1295981569.405936,1295981569.632574,0.2266380786895752,0.0007550716400146483,0.2127680778503418,0.03237686838422503,0.09716175553485336,3.0,395.0,40.0,303.0,131.66666666666666,121.24997136311232,1295981569.4190009,1295981569.433067,0.014065980911254885,0.0008130073547363281,0.013252973556518556,0.004688660303751628,0.006219983100891113
175,484f268f21224b4bcf51a7b89a0bdaf0,06bb7f89b95f3e8ca85775e0e95fba33,192.168.3.131,55957,65.55.5.232,80,6,48,35350,40,1482,736.4583333333335,588.7146648396168,1295981543.5177279,1295981735.8,192.28227186203003,6.198883056640625e-05,66.86811280250551,4.0058806637922935,11.590558822918998,32,14213,40,1119,444.15625,442.48312887152827,1295981543.5177279,1295981735.8,192.28227186203003,0.0003390312194824219,66.86811280250551,4.0058806637922935,13.805264160390465,16.0,21137.0,44.0,1482.0,1321.0625,368.14288475230654,1295981543.535758,1295981735.5993972,192.0636389255524,0.019947052001953125,67.08968091011046,12.003977432847025,17.747872559840783
176,489546b3e278d008fc76090a06df522f,ac5acade71a9706aa782ff85a76bf8fb,172.16.255.1,10679,212.8.163.80,54900,6,1,52,52,52,52.0,0.0,1295981668.077427,1295981668.077427,0.0,0.0,0.0,0.0,0.0,1,52,52,52,52.0,0.0,1295981668.077427,1295981668.077427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,491d5a65c9f762259ea4cd22318e575b,d290c6764110cd8680e0da0d13535174,192.168.3.131,52203,72.14.213.102,443,6,11,2689,40,1470,244.45454545454547,425.7893981421425,1295981562.2212632,1295981562.289705,0.06844210624694824,1.9073486328125e-06,0.021986007690429688,0.006222009658813477,0.009288429995328643,6,434,40,222,72.33333333333333,67.07624186120019,1295981562.2212632,1295981562.289705,0.06844210624694824,0.0003888607025146485,0.02287912368774414,0.006222009658813477,0.009351750564096246,5.0,2255.0,40.0,1470.0,451.0,561.463801148391,1295981562.242127,1295981562.2896821,0.047554969787597656,1.9073486328125e-06,0.024251937866210938,0.009510993957519531,0.011479122040946909
178,498c5d423ff4d9e6fff0f6930d18a517,6af803bdae0b292dabff488ec50612eb,172.16.255.1,10682,109.227.83.224,443,6,16,967,40,119,60.4375,28.464822039668547,1295981669.707145,1295981727.396936,57.689790964126594,3.0994415283203125e-06,55.84036993980408,3.605611935257912,13.896745700639405,9,527,40,112,58.555555555555564,28.359247408565817,1295981669.707145,1295981727.396936,57.689790964126594,0.00023102760314941406,55.84036993980408,3.605611935257912,18.380539933411328,7.0,440.0,40.0,119.0,62.85714285714285,28.417442186237718,1295981669.9562562,1295981727.396857,57.44060111045837,3.0994415283203125e-06,56.28573799133301,8.20580015863691,20.89076661847956
179,4a0ab3eb4157ecba8516332852caebfd,6c0c6db083ecd3f19ddd646f0ac82c11,65.55.57.251,5480,192.168.3.131,57058,6,2,80,40,40,40.0,0.0,1295981764.343349,1295981764.3434,5.102157592773438e-05,5.102157592773438e-05,5.102157592773438e-05,2.551078796386719e-05,0.0,1,40,40,40,40.0,0.0,1295981764.343349,1295981764.343349,0.0,0.0,0.0,0.0,0.0,1.0,40.0,40.0,40.0,40.0,0.0,1295981764.3434,1295981764.3434,0.0,0.0,0.0,0.0,0.0
180,4a900e50c052d6eb9b0a914557b022f1,5e12f4225248aaadd4deab91dd590d62,172.16.255.1,10695,10.1.1.2,50023,6,1,52,52,52,52.0,0.0,1295981732.895494,1295981732.895494,0.0,0.0,0.0,0.0,0.0,1,52,52,52,52.0,0.0,1295981732.895494,1295981732.895494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,4adb896df87fb89be9be6ce371b1dde9,4d68e1cbb450da0d19d8112cdee727d0,172.16.255.1,61996,172.16.0.1,5351,17,4,160,40,40,40.0,0.0,1295981679.795896,1295981681.648433,1.852536916732788,0.2768628597259521,1.0452618598937988,0.463134229183197,0.31968638542133765,4,160,40,40,40.0,0.0,1295981679.795896,1295981681.648433,1.852536916732788,0.2768628597259521,1.0452618598937988,0.463134229183197,0.31968638542133765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,4b2b890d43b80e63f303c22b2262b766,b4a2dc7ea083d52309544b91dd98ea49,172.16.255.1,50983,190.164.247.173,29044,17,2,108,46,62,54.0,8.0,1295981663.173967,1295981663.373302,0.1993350982666016,0.1993350982666016,0.1993350982666016,0.09966754913330078,0.0,1,62,62,62,62.0,0.0,1295981663.173967,1295981663.173967,0.0,0.0,0.0,0.0,0.0,1.0,46.0,46.0,46.0,46.0,0.0,1295981663.373302,1295981663.373302,0.0,0.0,0.0,0.0,0.0
183,4b9670c116fb05c7fbbf8c8feb87bc11,699033ddc8f99450093e941ef105009d,10.0.2.15,2549,65.55.116.184,80,6,10,1346,40,550,134.6,187.20694431564232,1295981671.169174,1295981671.390554,0.22137999534606934,2.5033950805664066e-05,0.12190699577331544,0.02213799953460693,0.04490917318968125,5,718,40,550,143.6,203.22362067436944,1295981671.169174,1295981671.388327,0.21915292739868164,0.0009539127349853516,0.12207412719726562,0.024350325266520183,0.0545331432543017,5.0,628.0,40.0,464.0,125.6,169.20709204994918,1295981671.291081,1295981671.390554,0.0994729995727539,0.0006139278411865233,0.09341907501220703,0.01989459991455078,0.03959121713846054
